2026-05-29 08:20:16,996 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-0\test_init_db_creates_tables0\attendance.db
2026-05-29 08:20:17,026 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-0\test_register_student_inserts_0\attendance.db
2026-05-29 08:20:17,038 | INFO | database | Registered student EG2020001 (Alice)
2026-05-29 08:20:17,070 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-0\test_duplicate_student_id_is_h0\attendance.db
2026-05-29 08:20:17,080 | INFO | database | Registered student EG2020002 (Bob)
2026-05-29 08:20:17,081 | WARNING | database | Student EG2020002 already registered
2026-05-29 08:20:17,112 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-0\test_mark_attendance_inserts_r0\attendance.db
2026-05-29 08:20:17,123 | INFO | database | Registered student EG2020003 (Carol)
2026-05-29 08:20:17,134 | INFO | database | Marked attendance for EG2020003 (Carol) session=session_A
2026-05-29 08:20:17,166 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-0\test_duplicate_attendance_with0\attendance.db
2026-05-29 08:20:17,178 | INFO | database | Registered student EG2020004 (Dave)
2026-05-29 08:20:17,187 | INFO | database | Marked attendance for EG2020004 (Dave) session=default
2026-05-29 08:20:17,203 | WARNING | database | Duplicate attendance for EG2020004 within 300s window (elapsed=0s)
2026-05-29 08:20:17,229 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-0\test_export_to_csv_creates_fil0\attendance.db
2026-05-29 08:20:17,240 | INFO | database | Registered student EG2020005 (Eve)
2026-05-29 08:20:17,251 | INFO | database | Marked attendance for EG2020005 (Eve) session=morning
2026-05-29 08:20:17,253 | INFO | database | Exported 1 rows to C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-0\test_export_to_csv_creates_fil0\csv\attendance_2026-05-29.csv
2026-05-29 08:26:01,152 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-1\test_init_db_creates_tables0\attendance.db
2026-05-29 08:26:01,186 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-1\test_register_student_inserts_0\attendance.db
2026-05-29 08:26:01,197 | INFO | database | Registered student EG2020001 (Alice)
2026-05-29 08:26:01,227 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-1\test_duplicate_student_id_is_h0\attendance.db
2026-05-29 08:26:01,239 | INFO | database | Registered student EG2020002 (Bob)
2026-05-29 08:26:01,240 | WARNING | database | Student EG2020002 already registered
2026-05-29 08:26:01,270 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-1\test_mark_attendance_inserts_r0\attendance.db
